titulo,rating
Peaky Blinders: El hombre inmortal,7.375
Proyecto Salvación,8.174
Avatar: Fuego y ceniza,7.261
Shelter: El Protector,6.703
Scream 7,5.808
Твое сердце будет разбито,6.429
Máquina de guerra,7.276
Ruta de escape,6.991
SEND HELP (Enviad ayuda),7.028
Greenland 2,6.4
Pretty Lethal,6.818
GOAT: Como cabras,7.579
Zootrópolis 2,7.61
13 Dias En El Lago De La Muerte,6.1
Whistle: El silbido del mal,6.003
“Cumbres Borrascosas”,6.378
Return to Silent Hill,5.007
Hoppers,7.624
Sin piedad,7.048
Vanaveera,7.0
